UserID,EventType,TimeElapsed,timestamp,VariableFields
Pd2c2d986aa,START,0,2025-11-24T02:11:55+05:30,{}
Pd2c2d986aa,session_started,0,2025-11-24 02:11:55 IST,{}
Pd2c2d986aa,eyes_closed_finished,30,2025-11-24 02:12:25 IST,{}
Pd2c2d986aa,paragraph_finished,40,2025-11-24 02:12:35 IST,{}
Pd2c2d986aa,question_1_finished,55,2025-11-24 02:12:50 IST,{}
Pd2c2d986aa,question_2_finished,70,2025-11-24 02:13:06 IST,{}
Pd2c2d986aa,question_3_finished,86,2025-11-24 02:13:22 IST,{}
Pd2c2d986aa,question_4_finished,102,2025-11-24 02:13:37 IST,{}
Pd2c2d986aa,question_5_finished,102,2025-11-24 02:13:38 IST,{}
Pd2c2d986aa,question_6_finished,103,2025-11-24 02:13:38 IST,{}
Pd2c2d986aa,question_7_finished,103,2025-11-24 02:13:39 IST,{}
Pd2c2d986aa,question_8_finished,103,2025-11-24 02:13:39 IST,{}
Pd2c2d986aa,question_9_finished,103,2025-11-24 02:13:39 IST,{}
Pd2c2d986aa,question_10_finished,104,2025-11-24 02:13:39 IST,{}
Pd2c2d986aa,question_11_finished,104,2025-11-24 02:13:40 IST,{}
Pd2c2d986aa,question_12_finished,104,2025-11-24 02:13:40 IST,{}
Pd2c2d986aa,question_13_finished,105,2025-11-24 02:13:40 IST,{}
Pd2c2d986aa,Qfirstseen,105,2025-11-24 02:13:40 IST,"{""Qn"": 0, ""FirsttimeSeen"": 105}"
Pd2c2d986aa,subjective_section_finished,105,2025-11-24 02:13:40 IST,{}
Pd2c2d986aa,subjective_section_finished,105,2025-11-24 02:13:41 IST,{}
Pd2c2d986aa,QSubmit,105,2025-11-24 02:13:41 IST,"{""Qn"": 0, ""Soption"": ""All leaves are at the same depth"", ""FirsttimeSeen"": 105, ""ResponseTime"": 0}"
Pd2c2d986aa,QChange,107,2025-11-24 02:13:42 IST,"{""Qn"": 0, ""Qnto"": 1, ""submitted"": ""Yes""}"
Pd2c2d986aa,Qfirstseen,107,2025-11-24 02:13:42 IST,"{""Qn"": 1, ""FirsttimeSeen"": 107}"
Pd2c2d986aa,Qfirstseen,109,2025-11-24 02:13:45 IST,"{""Qn"": 2, ""FirsttimeSeen"": 109}"
Pd2c2d986aa,QChange,109,2025-11-24 02:13:45 IST,"{""Qn"": 1, ""Qnto"": 2, ""submitted"": ""No""}"
Pd2c2d986aa,QChange,112,2025-11-24 02:13:48 IST,"{""Qn"": 2, ""Qnto"": 1, ""submitted"": ""No""}"
Pd2c2d986aa,QSubmit,113,2025-11-24 02:13:49 IST,"{""Qn"": 1, ""Soption"": ""BFS tree will contain the cycle"", ""FirsttimeSeen"": 107, ""ResponseTime"": 6}"
Pd2c2d986aa,QChange,115,2025-11-24 02:13:50 IST,"{""Qn"": 1, ""Qnto"": 2, ""submitted"": ""Yes""}"
Pd2c2d986aa,QSubmit,115,2025-11-24 02:13:51 IST,"{""Qn"": 2, ""Soption"": ""Removing any single node from the cycle will break all cycles in the graph"", ""FirsttimeSeen"": 109, ""ResponseTime"": 6}"
Pd2c2d986aa,End,116,2025-11-24 02:13:52 IST,{}
Pd2c2d986aa,Feedback,121,2025-11-24 02:13:56 IST,"{""confidence"": [3, 3, 3], ""guess"": [false, false, false], ""guessType"": ["""", """", """"]}"
Pd2c2d986aa,ImageDescription,128,2025-11-24 02:14:04 IST,"{""description"": ""om""}"
Pd2c2d986aa,SCORE,128,2025-11-24 02:14:04 IST,"{""score"": 1, ""answerStatus"": [""correct"", ""incorrect"", ""incorrect""]}"
Pd2c2d986aa,FINISH,129,2025-11-24 02:14:05 IST,{}
